,userId,movieId,rating,timestamp,new_user_index,new_movie_index
0,1,31,2.5,1260759144,0,0
1,1,1029,3.0,1260759179,0,1
2,1,1061,3.0,1260759182,0,2
3,1,1129,2.0,1260759185,0,3
4,1,1172,4.0,1260759205,0,4
5,1,1263,2.0,1260759151,0,5
6,1,1287,2.0,1260759187,0,6
7,1,1293,2.0,1260759148,0,7
8,1,1339,3.5,1260759125,0,8
9,1,1343,2.0,1260759131,0,9
10,1,1371,2.5,1260759135,0,10
11,1,1405,1.0,1260759203,0,11
12,1,1953,4.0,1260759191,0,12
13,1,2105,4.0,1260759139,0,13
14,1,2150,3.0,1260759194,0,14
15,1,2193,2.0,1260759198,0,15
16,1,2294,2.0,1260759108,0,16
17,1,2455,2.5,1260759113,0,17
18,1,2968,1.0,1260759200,0,18
19,1,3671,3.0,1260759117,0,19
20,2,10,4.0,835355493,1,20
21,2,17,5.0,835355681,1,21
22,2,39,5.0,835355604,1,22
23,2,47,4.0,835355552,1,23
24,2,50,4.0,835355586,1,24
25,2,52,3.0,835356031,1,25
26,2,62,3.0,835355749,1,26
27,2,110,4.0,835355532,1,27
28,2,144,3.0,835356016,1,28
29,2,150,5.0,835355395,1,29
30,2,153,4.0,835355441,1,30
31,2,161,3.0,835355493,1,31
32,2,165,3.0,835355441,1,32
33,2,168,3.0,835355710,1,33
34,2,185,3.0,835355511,1,34
35,2,186,3.0,835355664,1,35
36,2,208,3.0,835355511,1,36
37,2,222,5.0,835355840,1,37
38,2,223,1.0,835355749,1,38
39,2,225,3.0,835355552,1,39
40,2,235,3.0,835355664,1,40
41,2,248,3.0,835355896,1,41
42,2,253,4.0,835355511,1,42
43,2,261,4.0,835355681,1,43
44,2,265,5.0,835355697,1,44
45,2,266,5.0,835355586,1,45
46,2,272,3.0,835355767,1,46
47,2,273,4.0,835355779,1,47
48,2,292,3.0,835355492,1,48
49,2,296,4.0,835355395,1,49
50,2,300,3.0,835355532,1,50
51,2,314,4.0,835356044,1,51
52,2,317,2.0,835355551,1,52
53,2,319,1.0,835355918,1,53
54,2,339,3.0,835355492,1,54
55,2,349,4.0,835355441,1,55
56,2,350,4.0,835355697,1,56
57,2,356,3.0,835355628,1,57
58,2,357,3.0,835355749,1,58
